"Polarity","Tweet"
"Negatif","polisi harus bisa menjelaskan ini uang pidana apa 
korupsi 
narkoba 
atau apa 
kok donasi pengajian tppu 
kok …"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","antara anti korupsi vs pro korupsi"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Netral","kenapa g skalian beralasan aulia pohan korupsi krna disuruh jokowi"
"Negatif","kasusnya korupsi knp menyalahkan sby yg vonis hakim knp menyalahkan sby"
"Positif","pasti kami kami mau paslon yg dibiayai rakyat krn mau jd pelayan masyarakat dki yuuuk badja aja yg bersih tran…"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"Negatif","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","iya jgn pilih partai dan caleg nya yg msk penjara krn korupsi hambalang catet"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"Negatif","kalau semua korupsi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","jika bersyukurlah warga dki jakarta untuk jakarta kece dlm tahun ke depan yg penting birokrasi bobrok amp korupsi diberantas"
"Netral","jika sang kandidat sudah memulai dengan membayar suara rakyat pertanda pemimpin tersebut akan sulit cegah korupsi"
"Negatif","ah biasa min pejabat mah moal jauh ti kata korupsi"
"Netral","kalo yg korupsi kabinetnya baru gk ada prubhan brarti <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"Negatif","tapi intinya sampen korupsi kan"
"Negatif","korupsi itu menyalahgunakan kekuasaan termasuk utk menyingkirkan orang bukan hanya utk keruk duit negara"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Positif","hanya yg mata hati dan pikirannya tertutup oleh keinginan korupsi yg tidak bisa melihat dan mengakui kemajuan luar biasa ini"
"Positif","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"Positif","gue untuk jakarta yg jujur tegas dan bersih dari korupsi dan sampah"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"Negatif","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"Negatif","ini alasan kuat mengapa tito tak pernah memeriksa ahok terkait tindak pidana korupsi yg dilaporkan masyarakat"
"Negatif","penggeledahan di kantor pt wira usaha sumekar wus oleh tim satuan khusus pemberantasan korupsi"
"Positif","bagus kenapa dia tidak berani korupsi karena banyak musuhnya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30> bener"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Positif","hari ini khusus utk warga dki fokus saja pada pencoblosan agar jakarta bebas korupsi betul nyata berubah aman dan d…"
"Negatif","bukannya yg dusta itu yang bilang katakan tidak pada korupsi tapi kenyataannya malah rame korupsi …"
"Positif","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"Positif","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Positif","ada yg korupsi 
ada yg jaim 
tapi yg lebih bahaya dari semua ialah yg nafsu berkuasa jadi apapun boleh asal dia menang stop this person"
"Positif","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"Negatif","pilkada hari ini harus jadi berkah bukan musibah tp org kada tersangkut korupsi sjk hrs jd pelajaran penting hari ini"
"Positif","semoga keluarganya mbak diberkahi oleh allah semoga keluarga mbak nggak banyak korupsi lagi tdk ada yg disembunyi…"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"Negatif","kt percaya kpk dan artijo di banding omongan politisi santun tpi korupsi buktikan klo au korban interbensi sby"
"Negatif","setya novanto diduga ikut bermain proyek ktp elektronik e ktp yang kini sdg di periksa kpk cc"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Netral","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"Negatif","polisi hrs bisa menjelaskan ini uang pidana apa korupsi atau apa kok dana di usut kok dana gak mikir pa"
"Netral","sudah gagal total menjadi presiden selama ini korupsi semakin banyak"
"Negatif","ini alasan kuat mengapa tito tak pernah memeriksa ahok terkait tindak pidana korupsi yg dilaporkan masyarakat"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","sumber semua masalah di negeri ini adalah korupsi karenanya besok pilih yg kita yakin bersih jujur anti korupsi da…"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
